run_id,loss,layers,learning_rate,normalization,importance_gt,importance_fire,importance_other,dropout,grad_clip_norm,epochs_completed,train_TP,train_FP,train_FN,test_TP,test_FP,test_FN,flight03_FP,error_rate,precision,recall
216,combined,128x64x32,0.01,standard,10,5,1,0.1,1.0,100,10991,1298,0,9017,584,51,122,0.070026,0.939173,0.994376
217,combined,128x64x32,0.001,hybrid,10,5,1,0.0,1.0,100,10991,4098,0,7750,567,1318,99,0.207874,0.931826,0.854654
218,combined,128x64x32,0.001,hybrid,10,5,1,0.0,1.0,100,10991,3725,0,7641,520,1427,94,0.214711,0.936282,0.842633
219,combined,128x64x32,0.001,standard,10,5,1,0.0,1.0,100,10991,165,0,7630,64,1438,35,0.165637,0.991682,0.841420
220,combined,128x64x32,0.001,standard,10,5,1,0.0,1.0,100,10991,183,0,7997,118,1071,36,0.131120,0.985459,0.881892
221,combined,128x64x32,0.001,hybrid,10,5,1,0.1,1.0,100,10991,6598,0,8704,1285,364,135,0.181848,0.871358,0.959859
222,combined,128x64x32,0.001,hybrid,10,5,1,0.1,1.0,100,10991,6049,0,8408,1158,660,141,0.200485,0.878946,0.927217
223,combined,128x64x32,0.001,standard,10,5,1,0.1,1.0,100,10991,478,0,8859,305,209,70,0.056683,0.966718,0.976952
224,combined,128x64x32,0.001,standard,10,5,1,0.1,1.0,100,10991,624,0,8617,331,451,70,0.086237,0.963008,0.950265
225,combined,128x128x128x32,0.01,hybrid,10,5,1,0.0,1.0,100,10991,3315,0,7293,407,1775,47,0.240626,0.947143,0.804257
226,combined,128x128x128x32,0.01,hybrid,10,5,1,0.0,1.0,100,10991,2740,0,7170,371,1898,57,0.250221,0.950802,0.790693
227,combined,128x128x128x32,0.01,standard,10,5,1,0.0,1.0,100,10991,347,0,8427,148,641,41,0.087009,0.982741,0.929312
228,combined,128x128x128x32,0.01,standard,10,5,1,0.0,1.0,100,10991,341,0,8174,123,894,46,0.112153,0.985175,0.901412
229,combined,128x128x128x32,0.01,hybrid,10,5,1,0.1,1.0,100,10991,10173,0,8638,1632,430,207,0.227393,0.841091,0.952581
230,combined,128x128x128x32,0.01,hybrid,10,5,1,0.1,1.0,100,10991,11257,0,8650,1889,418,212,0.254411,0.820761,0.953904
231,combined,128x128x128x32,0.01,standard,10,5,1,0.1,1.0,100,10991,3886,0,9065,2180,3,167,0.240737,0.806136,0.999669
232,combined,128x128x128x32,0.01,standard,10,5,1,0.1,1.0,100,10991,3247,0,9067,1710,1,165,0.188685,0.841329,0.999890
233,combined,128x128x128x32,0.001,hybrid,10,5,1,0.0,1.0,100,10991,2960,0,7428,410,1640,66,0.226070,0.947691,0.819144
234,combined,128x128x128x32,0.001,hybrid,10,5,1,0.0,1.0,100,10991,2890,0,7323,359,1745,49,0.232025,0.953267,0.807565
235,combined,128x128x128x32,0.001,standard,10,5,1,0.0,1.0,100,10991,143,0,7764,66,1304,33,0.151081,0.991571,0.856198
236,combined,128x128x128x32,0.001,standard,10,5,1,0.0,1.0,100,10991,127,0,7792,71,1276,31,0.148544,0.990970,0.859285
237,combined,128x128x128x32,0.001,hybrid,10,5,1,0.1,1.0,100,10991,5505,0,8212,835,856,88,0.186480,0.907704,0.905602
238,combined,128x128x128x32,0.001,hybrid,10,5,1,0.1,1.0,100,10991,6285,0,8194,946,874,100,0.200706,0.896499,0.903617
239,combined,128x128x128x32,0.001,standard,10,5,1,0.1,1.0,100,10991,613,0,8492,290,576,45,0.095501,0.966978,0.936480
240,combined,128x128x128x32,0.001,standard,10,5,1,0.1,1.0,100,10991,534,0,8554,291,514,47,0.088774,0.967100,0.943317
